parameter,unit,status,source,notes
san_xuat.san_luong_goc_kg,kg/thửa/vụ,design_assumption,,Cần thay bằng nguồn dữ liệu khi chọn địa bàn/thời đoạn.
san_xuat.giong_kg_moi_thua,kg/thửa/vụ,design_assumption,,Cần thay bằng nguồn dữ liệu khi chọn địa bàn/thời đoạn.
thoi_gian.thoi_tiet.han_lu.p,probability/tick,design_assumption,,Cần thay bằng nguồn dữ liệu khi chọn địa bàn/thời đoạn.
nhan_khau.sinh_san.p_goc,probability/tick,design_assumption,,Cần thay bằng nguồn dữ liệu khi chọn địa bàn/thời đoạn.
ban_do.ty_le_ruong,ratio,design_assumption,,Cần thay bằng nguồn dữ liệu khi chọn địa bàn/thời đoạn.
hanh_vi.dat_dai.chiet_khau_moi_tick,discount rate/tick,design_assumption,,Cần thay bằng nguồn dữ liệu khi chọn địa bàn/thời đoạn.
ho.di_san.claim_han_tick,tick,design_assumption,,"ADR 0007 §D: cửa sổ đòi di sản (=1 năm ở calendar 3 mùa). KHÔNG có provenance; cần ablation."
ho.di_san.che_do,enum,institutional_assumption,,"ADR 0007 §E.2: chế độ truyền thừa TRƯỢT điều kiện #2 cổng charter §5 (chi phí=0). KHÔNG phải định chế tự phát. Mọi kết quả phụ thuộc nó phải kèm ablation che_do=tan_ra."
ho.di_san.het_han,enum,design_assumption,,"ADR 0007 §D.6: đích của di sản hết hạn. Giá trị cong bị CHẶN fail-closed (sink đổi tên, F-36)."
ho.quy_tac_cap,enum,design_assumption,,"ADR 0007 §B: nhu_cau_deu giữ ĐÚNG semantics phân bổ hiện có. Quy tắc khác = định chế phân phối, phải qua cổng (fail-closed)."
khong_gian.ga_rung.k_theo_tan_che,boolean,design_assumption,,"P2 mechanism treatment: habitat K theo canopy; false là ablation nhãn-ô legacy. Không phải calibrated fact."
khong_gian.rung.sinh_khoi_toi_da_moi_o,kg sinh khối/ô,design_assumption,,"P2 stock ceiling; cần sensitivity sweep, không phải dữ liệu lịch sử hiệu chuẩn."
khong_gian.rung.ty_le_ton_ban_dau,ratio,design_assumption,,"P2 initial forest-stock fraction."
khong_gian.rung.tai_sinh_moi_tick,ratio/tick,design_assumption,,"P2 logistic forest regrowth coefficient."
khong_gian.rung.ty_le_go_thu_hoi_khai_hoang,ratio,design_assumption,,"P2 fraction of remaining biomass recovered as wood when clearing."
khong_gian.rung.trong_rung.cong_moi_thua,công/thửa,design_assumption,,"P2 labor input for reforestation."
khong_gian.rung.trong_rung.ty_le_sinh_khoi_khoi_dau,ratio,design_assumption,,"P2 initial biomass fraction after reforestation."
thuong_mai.bao_gia.het_han_tick,tick,design_assumption,,"P3 quote-thread expiry window; sensitivity/ablation required before mechanism claim."
du_an.toi_da_moi_chu,projects/owner,design_assumption,,"P1 safety/capacity cap for concurrently open work orders; sensitivity required."
du_an.han_tick,tick,design_assumption,,"P1 project expiry horizon; expiry refunds still-held material escrow, while spent labour remains spent."
du_an.cong_trinh,registry,design_assumption,,"P1 scenario registry mapping generic projects to existing recipes and ledger flows; not an emergent institution."
quan_sat.nhan_khau.cua_so_tick,tick,design_assumption,,"P4 rolling demographic observation window; reporting choice, not an economic mechanism."
quan_sat.nhan_khau.min_person_tick,person-tick,design_assumption,,"P4 missing-data threshold for all-population annualized rates."
quan_sat.nhan_khau.min_woman_tick,woman-tick,design_assumption,,"P4 missing-data threshold for age-specific fertility rate."
quan_sat.nhan_khau.min_n_tu_vong,deaths,design_assumption,,"P4 minimum death count before reporting age-at-death summary."
quan_sat.nhan_khau.tuoi_nghi,years,design_assumption,,"P4 dependency-ratio age cutoff; sensitivity required for substantive claims."
quan_sat.nhan_khau.bang_song.bands,years,design_assumption,,"P4 disclosed abridged period-life-table bands; not a calibrated historical schedule."
quan_sat.nhan_khau.bang_song.min_person_tick_moi_band,person-tick/band,design_assumption,,"P4 missing-data threshold for a life-table age band."
minds.action_journal.enforce,boolean,design_assumption,,"V3 interface treatment: preflight-rejected targets are filtered before engine execution; legacy scenarios leave this gate off."
khong_gian.vu_dong.cay.ngo,kg and labor/field,design_assumption,,"V3 crop trade-off: higher total food per field and higher labor requirement than potato; sensitivity required."
khong_gian.vu_dong.cay.khoai,kg and labor/field,design_assumption,,"V3 crop trade-off: lower labor requirement and lower total food per field than maize; sensitivity required."
suc_khoe.nha_o,health/tick,design_assumption,,"V3 shelter exposure/recovery treatment; health feeds existing labor-supply mechanism and is not a calibrated historical estimate."
nhan_khau.tu_vong_nguyen_nhan.tuoi_gia_tu,years,design_assumption,,"V3 reporting threshold separating baseline mortality from old-age labels; it does not change mortality hazard."
minds.llm_tick,request/agent/tick,design_assumption,,"V4 infrastructure treatment: each living adult must receive 1–10 independent provider requests per tick; this is a coverage/cost condition rather than an economic calibration."
minds.san_cho_o_toi_thieu.nguong_health_khoi_cong,health points,design_assumption,,"V4 transparent threshold for offering a feasible shelter-project continuation; sensitivity and ablation are required."
minds.san_cho_o_toi_thieu.cong_gop_moi_tick,công/tick,design_assumption,,"V4 cap on already-feasible shelter-project labour contributed by the public safety floor; it does not mint labour or materials."
khong_gian.dat_o.he_so_lo_moi_nguoi,lots per initial resident,design_assumption,,"V5 public residential-lot supply rule; requires capacity sensitivity before any substantive claim."
khong_gian.dat_o.so_lo_toi_thieu,lots,design_assumption,,"V5 minimum founding supply of public residential permits; not a calibrated settlement density."
khong_gian.dat_o.toi_da_uu_tien,ranked requests per resident/tick,design_assumption,,"V5 bounded preference list for simultaneous residential-lot allocation; affects collision resolution only."
khong_gian.phan_bo_ruong_cong.co_che,enum,institutional_assumption,,"V5 seeded simultaneous lottery for contested seasonal common-field use; an explicit allocation rule, not an empirical historical fact."
cho.lenh_ton_tai_tick,tick,design_assumption,,"Versioned thin-market treatment: unfilled call-auction orders remain eligible for N sessions; TTL=1/absent is the legacy intratick auction. Requires sensitivity/ablation before mechanism claims."
nhan_khau.sinh_san.thai_ky_tick,tick,design_assumption,,"V6 reproductive-timing treatment: conception-to-delivery delay under the active calendar; not calibrated to a specific population."
nhan_khau.sinh_san.khoang_cach_sinh_toi_thieu_tick,tick,design_assumption,,"V6 earliest elapsed time from delivery to next conception attempt; sensitivity required before substantive fertility claims."
nhan_khau.sinh_san.p_sinh_doi,probability/delivery,design_assumption,,"V6 independent twin-delivery draw; declared mechanism parameter with no external calibration in this scenario."
minds.survival_feasibility.bat,boolean,design_assumption,,"ADR 0009 facts-only interface treatment; false/absent preserves the legacy prompt/tool path."
minds.san_cho_o_toi_thieu.phien_ban,enum,design_assumption,,"ADR 0009 v7 marker selects food-first shelter ordering without altering v4-v6 shelter treatment."
minds.san_cho_o_toi_thieu.nguong_health_khoi_cong,health points,design_assumption,,"ADR 0009 v7 threshold; validator requires [0 health_max)."
minds.san_cho_o_toi_thieu.cong_gop_moi_tick,công/tick,design_assumption,,"ADR 0009 v7 maximum incremental floor labour before stricter residual cap."
hop_dong.gop_cong_lich,enum,design_assumption,,"ADR 0009 generic contract schedule identity is implemented under the v7 gate; it remains a design assumption, not calibration."
hop_dong.tiep_can_vat_ly_v2,boolean,design_assumption,,"ADR 0009 generic tangible-delivery identity is implemented under the v7 gate; it remains a design assumption, not calibration."
